City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (C),Wind Speed (mph)
164,luohe,CN,2023-02-07 17:35:27,33.5717,114.0353,99,95,4.64,2.96
165,broken hill,AU,2023-02-07 17:34:59,-31.95,141.4333,0,22,25.54,6.09
166,sentyabrskiy,,,,,,,,
167,kupang,ID,2023-02-07 17:35:37,-10.1667,123.5833,20,100,25.32,1.03
168,sassari,IT,2023-02-07 17:32:32,40.7272,8.5603,2,83,4.88,3.54
169,yasnyy,RU,2023-02-07 17:35:38,51.0333,59.8742,97,100,-20.85,3.29
170,emerald,AU,2023-02-07 17:35:39,-23.5333,148.1667,35,65,24.63,4.15
171,fukue,JP,2023-02-07 17:35:39,32.6881,128.8419,75,64,11.86,6.58
172,velyka bahachka,UA,2023-02-07 17:35:40,49.7912,33.7226,13,86,-8.03,4.97
173,hofn,IS,2023-02-07 17:33:44,64.2539,-15.2082,100,60,0.54,11.7
174,koutsouras,GR,2023-02-07 17:35:41,35.0339,25.9469,38,73,6.73,13.03
175,udachnyy,RU,2023-02-07 17:35:41,66.4167,112.4,99,73,-37.53,1.24
176,cockburn town,TC,2023-02-07 17:30:43,21.4612,-71.1419,0,76,25.11,10.28
177,lebu,CL,2023-02-07 17:35:42,-37.6167,-73.65,0,83,16.1,7.76
178,esperance,AU,2023-02-07 17:35:42,-33.8667,121.9,100,66,20.64,4.84
179,kavieng,PG,2023-02-07 17:35:42,-2.5744,150.7967,100,78,27.48,4.49
180,tuktoyaktuk,CA,2023-02-07 17:32:48,69.4541,-133.0374,100,75,-33,0
181,kodiak,US,2023-02-07 17:31:36,57.79,-152.4072,0,55,-1.27,7.72
182,bang saphan,TH,2023-02-07 17:35:43,11.2126,99.5117,22,87,22.35,1.25
183,iqaluit,CA,2023-02-07 17:32:23,63.7506,-68.5145,75,67,-31.84,3.09
184,beitbridge,ZW,2023-02-07 17:35:43,-22.2167,30,0,66,24.02,3.84
185,senta,RS,2023-02-07 17:35:44,45.9275,20.0772,6,57,-2.98,2.94
186,tungkang,,,,,,,,
187,leshukonskoye,RU,2023-02-07 17:35:45,64.8989,45.7622,100,95,-1.78,4.95
188,luoyang,CN,2023-02-07 17:35:45,34.6836,112.4536,100,66,4.49,3.97
189,shitanjing,CN,2023-02-07 17:35:45,39.2342,106.3439,100,46,-3.13,2.98
190,bolungarvik,,,,,,,,
191,lafiagi,NG,2023-02-07 17:35:46,8.8667,5.4167,100,21,29.77,1.71
192,kaitangata,NZ,2023-02-07 17:35:46,-46.2817,169.8464,78,58,13.89,6.48
193,san juan,AR,2023-02-07 17:35:24,-31.5375,-68.5364,0,15,36.95,4.69
194,mamit,IN,2023-02-07 17:35:47,23.9333,92.4833,0,77,9.45,1.4
195,corlatel,RO,2023-02-07 17:35:47,44.3986,22.9331,93,74,-2.58,1.91
196,tiksi,RU,2023-02-07 17:33:41,71.6872,128.8694,100,100,-32.92,1.92
197,okhotsk,RU,2023-02-07 17:35:48,59.3833,143.3,97,86,-25.98,4.47
198,tuy hoa,VN,2023-02-07 17:35:48,13.0833,109.3,40,93,21.99,1.62
199,teya,RU,2023-02-07 17:35:49,60.3778,92.6267,100,97,-11.9,1.17
200,san ramon,US,2023-02-07 17:35:45,37.7799,-121.978,0,57,16.34,2.06
201,geraldton,AU,2023-02-07 17:31:49,-28.7667,114.6,100,88,19.23,4.12
202,ukiah,US,2023-02-07 17:35:50,39.1502,-123.2078,0,56,17.31,3.13
203,ponta delgada,PT,2023-02-07 17:35:50,37.7333,-25.6667,40,82,13.4,7.2
204,torbay,CA,2023-02-07 17:31:06,47.6666,-52.7314,75,83,-4.12,9.83
205,husyatyn,UA,2023-02-07 17:35:51,49.0726,26.2141,25,93,-7.23,2.96
206,vanimo,PG,2023-02-07 17:35:51,-2.6741,141.3028,100,96,24.48,2.19
207,roma,US,2023-02-07 17:25:27,43.2128,-75.4557,100,60,6.01,4.12
208,bethel,US,2023-02-07 17:33:34,41.3712,-73.414,0,66,2.98,3.09
209,tezu,IN,2023-02-07 17:35:52,27.9167,96.1667,98,74,13.66,1.35
210,yeppoon,AU,2023-02-07 17:35:52,-23.1333,150.7333,75,70,25.88,8.38
211,tasiilaq,GL,2023-02-07 17:35:53,65.6145,-37.6368,2,35,-16.91,15.94
212,praia,CV,2023-02-07 17:35:53,14.9215,-23.5087,20,64,20.3,9.77
213,port augusta,AU,2023-02-07 17:35:53,-32.5,137.7667,0,21,29.4,3.06
214,tilichiki,RU,2023-02-07 17:35:54,60.4667,166.1,39,92,-31.44,4.28
215,oussouye,SN,2023-02-07 17:35:54,12.485,-16.5469,24,61,23.1,4.7
216,kirakira,SB,2023-02-07 17:35:55,-10.4544,161.9205,98,86,27.63,4.95
217,hasaki,JP,2023-02-07 17:35:55,35.7333,140.8333,100,75,8.22,10.09
218,port hardy,CA,2023-02-07 17:30:57,50.6996,-127.4199,75,93,6.1,2.57
219,gamba,GA,2023-02-07 17:35:56,-2.65,10,81,81,25.25,0.93
220,itupiranga,BR,2023-02-07 17:35:56,-5.1347,-49.3267,98,95,25.18,1.72
221,cidreira,BR,2023-02-07 17:35:56,-30.1811,-50.2056,17,75,24.56,5.43
222,colares,PT,2023-02-07 17:35:57,38.7992,-9.4469,6,70,11.05,5.36
223,bowmore,US,2023-02-07 17:35:57,34.9421,-79.3031,0,30,18.91,2.57
224,road town,VG,2023-02-07 17:35:57,18.4167,-64.6167,40,78,26.05,3.6
225,barkhan,PK,2023-02-07 17:35:58,29.8977,69.5256,61,21,10.34,0.76
226,vila franca do campo,PT,2023-02-07 17:35:58,37.7167,-25.4333,83,82,13.23,5.31
227,bira,RU,2023-02-07 17:35:59,49,132.4667,12,94,-28.83,1.78
228,clyde river,CA,2023-02-07 17:35:59,70.4692,-68.5914,0,68,-34.87,1.54
229,victoria,HK,2023-02-07 17:33:22,22.2855,114.1577,91,91,18.03,4.02
230,imeni babushkina,RU,2023-02-07 17:36:00,59.7573,43.1285,100,94,-9.43,4.3
231,warqla,,,,,,,,
232,ust-kut,RU,2023-02-07 17:32:23,56.7938,105.7672,100,99,-17.47,1.29
233,tiarei,PF,2023-02-07 17:36:01,-17.5333,-149.3333,0,65,30.01,2.87
234,flinders,AU,2023-02-07 17:36:02,-34.5833,150.8552,100,93,20.21,1.73
235,dianopolis,,,,,,,,
236,banos,EC,2023-02-07 17:36:04,-1.4,-78.4167,72,82,19.51,1.93
237,chokurdakh,RU,2023-02-07 17:36:08,70.6333,147.9167,99,100,-39.02,1.74
238,mataruska banja,RS,2023-02-07 17:36:13,43.6901,20.6109,75,80,-3.03,2.57
239,ouesso,CG,2023-02-07 17:36:18,1.6136,16.0517,98,48,24.03,1.4
240,ahipara,NZ,2023-02-07 17:36:19,-35.1667,173.1667,97,59,21.35,3.3
241,the valley,AI,2023-02-07 17:36:22,18.217,-63.0578,20,83,25.61,5.66
242,chara,RU,2023-02-07 17:36:23,56.9064,118.2631,97,78,-24.87,1.19
243,srednekolymsk,RU,2023-02-07 17:31:53,67.45,153.6833,100,99,-35.32,2.45
244,cayenne,GF,2023-02-07 17:36:27,4.9333,-52.3333,75,88,25.02,5.14
245,izhma,RU,2023-02-07 17:36:34,65.0083,53.9113,100,94,-7.84,5.16
246,te anau,NZ,2023-02-07 17:36:39,-45.4167,167.7167,58,58,12.32,4.27
247,ucluelet,CA,2023-02-07 17:36:40,48.9329,-125.5528,55,81,6.17,8.46
248,palabuhanratu,,,,,,,,
249,shingu,JP,2023-02-07 17:36:41,33.7333,135.9833,1,83,7.46,3.34
250,nantucket,US,2023-02-07 17:36:42,41.2835,-70.0995,40,78,2.03,2.06
251,lavrentiya,RU,2023-02-07 17:36:43,65.5833,-171,100,86,-24.48,1.35
252,ajdabiya,LY,2023-02-07 17:36:43,30.7554,20.2263,90,56,11.52,2.6
253,hihifo,,,,,,,,
254,radhanpur,IN,2023-02-07 17:36:44,23.8333,71.6,3,23,18.31,2.55
255,calama,CL,2023-02-07 17:34:08,-22.4667,-68.9333,75,35,23.27,9.26
256,neuquen,AR,2023-02-07 17:36:44,-38.9516,-68.0591,0,15,34.94,2.06
257,mercedes,AR,2023-02-07 17:35:41,-34.6515,-59.4307,2,20,33.77,4.12
258,sorvag,,,,,,,,
259,ouargaye,BF,2023-02-07 17:36:45,11.5033,0.0572,73,17,28.19,3.65
260,jumla,NP,2023-02-07 17:36:45,29.2747,82.1838,4,70,0.9,1.56
261,tsihombe,,,,,,,,
262,quilmana,PE,2023-02-07 17:36:46,-12.95,-76.3833,20,76,25.02,2.55
263,provideniya,RU,2023-02-07 17:36:46,64.3833,-173.3,100,71,-18.94,5
264,san cristobal,VE,2023-02-07 17:36:47,7.7669,-72.225,27,62,24.1,0.86
265,namibe,AO,2023-02-07 17:35:52,-15.1961,12.1522,75,75,21.39,4.13
266,vao,NC,2023-02-07 17:33:39,-22.6667,167.4833,39,71,26.43,5.6
267,lorengau,PG,2023-02-07 17:36:47,-2.0226,147.2712,100,91,25.67,5.03
268,port said,EG,2023-02-07 17:36:48,31.2565,32.2841,40,71,10.99,6.17
269,somain,FR,2023-02-07 17:36:48,50.3596,3.2811,84,66,-0.87,1.77
270,bandarbeyla,SO,2023-02-07 17:36:49,9.4942,50.8122,56,77,24.41,6.08
271,westport,US,2023-02-07 17:36:49,41.1415,-73.3579,75,71,4.32,3.6
272,mukhen,RU,2023-02-07 17:36:49,48.1,136.1,31,90,-20.7,3.03
273,bathsheba,BB,2023-02-07 17:36:50,13.2167,-59.5167,40,73,26.34,7.2
274,comodoro rivadavia,AR,2023-02-07 17:35:14,-45.8667,-67.5,0,23,24.92,4.12
275,liberal,US,2023-02-07 17:36:50,37.0431,-100.921,0,26,12.08,6.69
276,georgetown,MY,2023-02-07 17:33:35,5.4112,100.3354,20,92,25.96,2.06
277,rodnykove,UA,2023-02-07 17:36:51,45.043,33.9541,100,94,-2.91,7.63
278,lakes entrance,AU,2023-02-07 17:36:51,-37.8811,147.981,8,73,17.31,1.59
279,nhulunbuy,AU,2023-02-07 17:36:52,-12.2333,136.7667,75,89,27.34,2.06
